Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,623.03,603.0,Unknown,,,UNREGISTERED
1,623.7,678.0,Unknown,,,UNREGISTERED
1,624.7,480.0,Unknown,,,UNREGISTERED
1,626.03,525.0,Unknown,,,UNREGISTERED
1,627.02,418.0,Unknown,,,UNREGISTERED
1,627.69,450.0,Unknown,,,UNREGISTERED
1,628.35,332.0,Unknown,,,UNREGISTERED
1,629.02,422.0,Unknown,,,UNREGISTERED
1,630.35,403.0,Unknown,,,UNREGISTERED
1,631.68,460.0,Unknown,,,UNREGISTERED
1,633.67,895.0,Unknown,,,UNREGISTERED
1,634.66,800.0,Unknown,,,UNREGISTERED
1,635.32,680.0,Unknown,,,UNREGISTERED
1,636.32,875.0,Unknown,,,UNREGISTERED
1,636.98,810.0,Unknown,,,UNREGISTERED
1,637.97,778.0,Unknown,,,UNREGISTERED
1,639.3,556.0,Unknown,,,UNREGISTERED
1,639.96,554.0,Unknown,,,UNREGISTERED
1,640.95,439.0,Unknown,,,UNREGISTERED
1,642.27,400.0,Unknown,,,UNREGISTERED
1,643.92,444.0,Unknown,,,UNREGISTERED
1,644.92,529.0,Unknown,,,UNREGISTERED
1,645.91,541.0,Unknown,,,UNREGISTERED
1,646.89,378.0,Unknown,,,UNREGISTERED
1,648.21,374.0,Unknown,,,UNREGISTERED
1,648.87,411.0,Unknown,,,UNREGISTERED
1,650.19,362.0,Unknown,,,UNREGISTERED
1,650.85,327.0,Unknown,,,UNREGISTERED
1,651.51,396.0,Unknown,,,UNREGISTERED
1,652.82,325.0,Unknown,,,UNREGISTERED
1,653.48,395.0,Unknown,,,UNREGISTERED
1,654.47,337.0,Unknown,,,UNREGISTERED
1,655.12,318.0,Unknown,,,UNREGISTERED
1,655.78,396.0,Unknown,,,UNREGISTERED
1,657.09,344.0,Unknown,,,UNREGISTERED
1,658.08,377.0,Unknown,,,UNREGISTERED
1,659.06,250.0,Unknown,,,UNREGISTERED
1,660.7,255.0,Unknown,,,UNREGISTERED
1,661.36,215.0,Unknown,,,UNREGISTERED
