Measurement_ID,Time_UTC,Measurement_Count,Wavelength_nm,Cleaned_Intensity,Operation_Mode,Measurement_Type,Force_Reset_Status,Laser_Fire_Status,Is_Valid_Plasma,Is_Background,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 05:47:45,2,195.55,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,195.93,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,196.31,90.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,196.69,49.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,197.07,16.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,197.45,35.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,197.83,107.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,198.21,12.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,198.59,39.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,198.96,65.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,199.34,72.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,199.72,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,200.1,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,200.48,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,200.86,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,201.24,4.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,201.62,25.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,201.99,84.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,202.37,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,202.75,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,203.13,3.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,203.51,44.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,203.89,36.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,204.27,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,204.64,41.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,205.02,143.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,205.4,69.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,205.78,95.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,206.16,144.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,206.54,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,206.91,41.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,207.29,104.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,207.67,84.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,208.05,9.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,208.43,11.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,208.81,75.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,209.18,4.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,209.56,143.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,209.94,49.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,210.32,82.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,210.7,57.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,211.07,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
